institutional_sector,consolidation,transaction_type,period,assets_total,assets_currency_deposits,assets_debt_securities,assets_loans_total,assets_short_term_loans,assets_long_term_loans,assets_equity_investment_funds,liabilities_total,liabilities_currency_deposits,liabilities_debt_securities,liabilities_loans_total,liabilities_short_term_loans,liabilities_long_term_loans,liabilities_equity_investment_funds,net_worth
Total domestic sectors,Not consolidated,Opening balance sheet,2015,15505106,1369365,1240803,4435367,1539232,2896135,5855466,15340822,1494812,1896053,3939583,1366796,2572787,5421229,164284
Total domestic sectors,Not consolidated,Opening balance sheet,2016,16216753,1495762,1266850,4563208,1550779,3012429,6343088,16024705,1628950,1878247,4077513,1383275,2694238,5889798,192048
Total domestic sectors,Not consolidated,Opening balance sheet,2017,17412074,1601477,1334250,4743032,1550169,3192863,7012464,17127647,1760581,1947387,4188811,1361649,2827162,6533168,284427
Total domestic sectors,Not consolidated,Opening balance sheet,2018,17622943,1667703,1327998,4770373,1541494,3228879,7260435,17325774,1764977,1832514,4335187,1468569,2866618,6804911,297169
Total domestic sectors,Not consolidated,Opening balance sheet,2019,17406207,1656963,1344479,4791582,1461294,3330288,7035300,17008470,1755655,1858630,4309756,1426741,2883015,6555699,397737
Total domestic sectors,Not consolidated,Opening balance sheet,2020,18527717,1657734,1409590,4757508,1495091,3262417,7714417,17962483,1727018,1934566,4214357,1409649,2804708,7206662,565234
Total domestic sectors,Not consolidated,Opening balance sheet,2021,19020745,1984288,1454733,4659618,1400243,3259375,7622980,18300806,2023966,1987737,4094115,1332140,2761975,7051717,719939
Total domestic sectors,Not consolidated,Opening balance sheet,2022,19833880,2147265,1520749,4924169,1428712,3495457,8078848,19189746,2228247,2037617,4213941,1289583,2924358,7654487,644134
Total domestic sectors,Not consolidated,Opening balance sheet,2023,19338874,2304563,1247150,5115113,1577298,3537815,7633739,18786193,2248972,1867405,4296136,1328551,2967585,7324519,552681
Total domestic sectors,Not consolidated,Opening balance sheet,2024,19249801,2177972,1316513,5083671,1599812,3483859,7599069,18683870,2120990,1924240,4214100,1294614,2919486,7358053,565931
Total domestic sectors,Not consolidated,Opening balance sheet,2025*,19961008,2254507,1404237,5182463,1606703,3575760,7932343,19235682,2184940,1977245,4248431,1261394,2987037,7666280,725326
Total domestic sectors,Not consolidated,Opening balance sheet,2026 1st quarter*,20071265,2385896,1383013,5289006,1644480,3644526,7952676,19512675,2272192,2017659,4322360,1301284,3021076,7834938,558590
Total domestic sectors,Not consolidated,Opening balance sheet,2026 2nd quarter*,20510512,2482062,1437266,5336331,1686355,3649976,7947181,19976342,2368249,2040218,4362587,1324575,3038012,7922838,534170
Total domestic sectors,Not consolidated,Financial transactions,2015,516754,101456,38256,40004,-27341,67345,318128,500215,105441,-34132,73267,-13627,86894,355206,16539
Total domestic sectors,Not consolidated,Financial transactions,2016,746201,105010,39709,120391,-20691,141082,440462,695122,129377,56469,56744,-29975,86719,409008,51079
Total domestic sectors,Not consolidated,Financial transactions,2017,467354,94226,31815,164900,49165,115735,165412,406709,41536,-29652,229714,155087,74627,114216,60645
Total domestic sectors,Not consolidated,Financial transactions,2018,-288535,-18334,23551,-11909,-94003,82094,-324310,-346815,-20243,43845,-61556,-60184,-1372,-303290,58280
Total domestic sectors,Not consolidated,Financial transactions,2019,122942,-3122,21996,-61456,24921,-86377,73872,70686,-35199,8771,-107042,-24628,-82414,119657,52256
Total domestic sectors,Not consolidated,Financial transactions,2020,404824,344287,27821,-29608,-69983,40375,-34477,357893,317722,44789,-76183,-54221,-21962,-50026,46931
Total domestic sectors,Not consolidated,Financial transactions,2021,347226,146644,103573,119091,-9193,128284,-165114,260723,183634,59008,-4911,-76547,71636,-97368,86503
Total domestic sectors,Not consolidated,Financial transactions,2022,590896,147200,-34545,151947,133369,18578,-233857,416351,10226,51255,55288,25631,29657,-208070,174545
Total domestic sectors,Not consolidated,Financial transactions,2023,-32271,-118627,27596,13438,19188,-5750,-296428,-122714,-119663,-6238,-43113,-40412,-2701,-309206,90443
Total domestic sectors,Not consolidated,Financial transactions,2024,509019,66621,88146,67535,-18217,85752,-79923,434281,46394,18574,21231,-37595,58826,-986,74738
Total domestic sectors,Not consolidated,Financial transactions,2025*,872328,163095,26980,170332,66491,103841,-51335,796555,123276,85882,110283,51282,59001,-78183,75773
Total domestic sectors,Not consolidated,Financial transactions,2026 1st quarter*,550446,92849,65089,40870,39608,1262,31491,524443,90931,38995,38420,24477,13943,52414,26003
Total domestic sectors,Not consolidated,Financial transactions,2026 2nd quarter*,80112,15810,4908,22986,44896,-21910,-31208,72206,8890,15584,-27629,-904,-26725,-1280,7906
