"Institutional sectors";"Not Consolidated or Consolidated";"Balance sheets and transactions";"Periods";"Assets/Total (million euros)";"Assets/Monetary gold and special drawing rights/Total (million euros)";"Assets/Monetary gold and special drawing rights/Monetary gold (million euros)";"Assets/Monetary gold and special drawing rights/Special drawing rights (SDRs) (million euros)";"Assets/Currency and deposits/Total (million euros)";"Assets/Currency and deposits/Currency (million euros)";"Assets/Currency and deposits/Transferable deposits (million euros)";"Assets/Currency and deposits/Savings deposits and other deposits/Total (million euros)";"Assets/Currency and deposits/Savings deposits and other deposits/Savings deposits (million euros)";"Assets/Currency and deposits/Savings deposits and other deposits/Other deposits (million euros)";"Assets/Debt securities/Total (million euros)";"Assets/Debt securities/Short-term securities (million euros)";"Assets/Debt securities/Long-term securities (million euros)";"Assets/Loans/Total (million euros)";"Assets/Loans/Short-term loans (million euros)";"Assets/Loans/Long-term loans (million euros)";"Assets/Equity and investment fund shares/Total (million euros)";"Assets/Equity and investment fund shares/Equity/Total (million euros)";"Assets/Equity and investment fund shares/Equity/Listed shares (million euros)";"Assets/Equity and investment fund shares/Equity/Unlisted shares (million euros)";"Assets/Equity and investment fund shares/Equity/Other equity (million euros)";"Assets/Equity and investment fund shares/Investment fund shares or units/Total (million euros)";"Assets/Equity and investment fund shares/Investment fund shares or units/Money market fund (MMF) shares or units  (million euros)";"Assets/Equity and investment fund shares/Investment fund shares or units/Non-MMF investment fund shares/units (million euros)";"Assets/Insurance and pension schemes/Total (million euros)";"Assets/Insurance and pension schemes/Non-life insurance technical reserves (million euros)";"Assets/Insurance and pension schemes/Life insurance and annuity entitlements (million euros)";"Assets/Insurance and pension schemes/Pension entitlements and claims/Total (million euros)";"Assets/Insurance and pension schemes/Pension entitlements and claims/Pension entitlements (mln euro)";"Assets/Insurance and pension schemes/Pension entitlements and claims/Other claims/Total (mln euro)";"Assets/Insurance and pension schemes/Pension entitlements and claims/Other claims/Claims on pension managers (mln euro)";"Assets/Insurance and pension schemes/Pension entitlements and claims/Other claims/Rights on non-pension entitlements (mln euro)";"Assets/Insurance and pension schemes/Provisions for calls under guarantees (million euros)";"Assets/Fin. derivatives, employee stock options/Total (million euros)";"Assets/Fin. derivatives, employee stock options/Financial derivatives/Total (million euros)";"Assets/Fin. derivatives, employee stock options/Financial derivatives/Options (million euros)";"Assets/Fin. derivatives, employee stock options/Financial derivatives/Forwards (million euros)";"Assets/Fin. derivatives, employee stock options/Employee stock options (million euros)";"Assets/Other accounts receivable/payable/Total (million euros)";"Assets/Other accounts receivable/payable/Trade credits and advances (million euros)";"Assets/Other accounts receivable/payable/Other receivable/payable (million euros)";"Liabilities/Totaal (million euros)";"Liabilities/Monetary gold and special drawing rights/Total (million euros)";"Liabilities/Monetary gold and special drawing rights/Monetary gold (million euros)";"Liabilities/Monetary gold and special drawing rights/Special drawing rights (SDRs) (million euros)";"Liabilities/Currency and deposits/Total (million euros)";"Liabilities/Currency and deposits/Currency (million euros)";"Liabilities/Currency and deposits/Transferable deposits (million euros)";"Liabilities/Currency and deposits/Savings deposits and other deposits/Total (million euros)";"Liabilities/Currency and deposits/Savings deposits and other deposits/Savings deposits (million euros)";"Liabilities/Currency and deposits/Savings deposits and other deposits/Other deposits (million euros)";"Liabilities/Debt securities/Total (million euros)";"Liabilities/Debt securities/Short-term securities (million euros)";"Liabilities/Debt securities/Long-term securities (million euros)";"Liabilities/Loans/Total (million euros)";"Liabilities/Loans/Short-term loans (million euros)";"Liabilities/Loans/Long-term loans (million euros)";"Liabilities/Equity and investment fund shares/Total (million euros)";"Liabilities/Equity and investment fund shares/Equity/Total (million euros)";"Liabilities/Equity and investment fund shares/Equity/Listed shares (million euros)";"Liabilities/Equity and investment fund shares/Equity/Unlisted shares (million euros)";"Liabilities/Equity and investment fund shares/Equity/Other equity (million euros)";"Liabilities/Equity and investment fund shares/Investment fund shares or units/Total (million euros)";"Liabilities/Equity and investment fund shares/Investment fund shares or units/Money market fund (MMF) shares or units (million euros)";"Liabilities/Equity and investment fund shares/Investment fund shares or units/Non-MMF investment fund shares/units (million euros)";"Liabilities/Insurance, pension and guarantee schemes/Total (million euros)";"Liabilities/Insurance, pension and guarantee schemes/Non-life insurance technical reserves (million euros)";"Liabilities/Insurance, pension and guarantee schemes/Life insurance and annuity entitlements  (million euros)";"Liabilities/Insurance, pension and guarantee schemes/Pension entitlements and claims/Total (million euros)";"Liabilities/Insurance, pension and guarantee schemes/Pension entitlements and claims/Pension entitlements (mln euro)";"Liabilities/Insurance, pension and guarantee schemes/Pension entitlements and claims/Other claims/Total (mln euro)";"Liabilities/Insurance, pension and guarantee schemes/Pension entitlements and claims/Other claims/Claims on pension managers (mln euro)";"Liabilities/Insurance, pension and guarantee schemes/Pension entitlements and claims/Other claims/Rights on non-pension entitlements (mln euro)";"Liabilities/Insurance, pension and guarantee schemes/Provisions for calls under guarantees (million euros)";"Liabilities/Fin. derivatives, employee stock options/Total (million euros)";"Liabilities/Fin. derivatives, employee stock options/Financial derivatives/Total (million euros)";"Liabilities/Fin. derivatives, employee stock options/Financial derivatives/Options (million euros)";"Liabilities/Fin. derivatives, employee stock options/Financial derivatives/Forwards (million euros)";"Liabilities/Fin. derivatives, employee stock options/Employee stock (million euros)";"Liabilities/Other accounts receivable/payable/Total (million euros)";"Liabilities/Other accounts receivable/payable/Trade credits and advances (million euros)";"Liabilities/Other accounts receivable/payable/Other receivable/payable (million euros)";"Net worth (million euros)"
"Total domestic sectors";"Not consolidated";"Opening balance sheet";"2015";15505106;24903;19450;5453;1369365;18281;469758;881326;336780;544546;1240803;45661;1195142;4435367;1539232;2896135;5855466;4887759;572519;4208158;107082;967707;45825;921882;1449348;49845;144665;1254758;1240626;14132;11808;2324;80;638036;637515;79011;558504;521;491818;169878;321940;15340822;5769;;5769;1494812;54053;633929;806830;326844;479986;1896053;121883;1774170;3939583;1366796;2572787;5421229;4676488;728378;3568920;379190;744741;8609;736132;1445498;42167;147460;1255791;1241659;14132;11808;2324;80;599374;598853;78232;520621;521;538504;153088;385416;164284
"Total domestic sectors";"Not consolidated";"Opening balance sheet";"2016";16216753;25215;19213;6002;1495762;16758;565874;913130;341177;571953;1266850;37455;1229395;4563208;1550779;3012429;6343088;5344516;593885;4639073;111558;998572;50375;948197;1533194;47171;143259;1342680;1332230;10450;7704;2746;84;511447;510977;59526;451451;470;477989;176191;301798;16024705;6158;;6158;1628950;57244;740083;831623;333314;498309;1878247;101816;1776431;4077513;1383275;2694238;5889798;5130165;839156;3870700;420309;759633;9910;749723;1529288;42302;143259;1343643;1333193;10450;7704;2746;84;488985;488515;56233;432282;470;525766;157960;367806;192048
"Total domestic sectors";"Not consolidated";"Opening balance sheet";"2017";17412074;27383;21662;5721;1601477;15384;581904;1004189;347183;657006;1334250;46874;1287376;4743032;1550169;3192863;7012464;5916686;685602;5095799;135285;1095778;48696;1047082;1667012;42097;143867;1480961;1468191;12770;8789;3981;87;526541;526038;68067;457971;503;499915;185543;314372;17127647;6172;;6172;1760581;59483;795234;905864;339431;566433;1947387;112804;1834583;4188811;1361649;2827162;6533168;5696926;983148;4272913;440865;836242;7580;828662;1663709;40621;142467;1480534;1467764;12770;8789;3981;87;490669;490166;65962;424204;503;537150;168892;368258;284427
"Total domestic sectors";"Not consolidated";"Opening balance sheet";"2018";17622943;26626;21305;5321;1667703;14633;614679;1038391;350494;687897;1327998;50723;1277275;4770373;1541494;3228879;7260435;6098145;737221;5219606;141318;1162290;54166;1108124;1649727;38234;134538;1476863;1461001;15862;12389;3473;92;421290;420812;68858;351954;478;498791;191206;307585;17325774;5756;;5756;1764977;61827;814439;888711;343355;545356;1832514;109672;1722842;4335187;1468569;2866618;6804911;5909761;1092729;4474897;342135;895150;6427;888723;1642390;36166;133158;1472974;1457112;15862;12389;3473;92;383630;383152;66277;316875;478;556409;176023;380386;297169
"Total domestic sectors";"Not consolidated";"Opening balance sheet";"2019";17406207;27777;22069;5708;1656963;14384;605055;1037524;356578;680946;1344479;47160;1297319;4791582;1461294;3330288;7035300;5896054;667437;5069334;159283;1139246;60502;1078744;1686986;36920;122301;1527674;1513120;14554;9973;4581;91;386519;386040;86077;299963;479;476601;194721;281880;17008470;5895;;5895;1755655;64985;818607;872063;351410;520653;1858630;116225;1742405;4309756;1426741;2883015;6555699;5688733;921949;4431426;335358;866966;6022;860944;1681222;36654;120961;1523516;1508962;14554;9973;4581;91;339177;338698;76283;262415;479;502436;181122;321314;397737
"Total domestic sectors";"Not consolidated";"Opening balance sheet";"2020";18527717;32828;26733;6095;1657734;14918;600945;1041871;369337;672534;1409590;49979;1359611;4757508;1495091;3262417;7714417;6431372;841698;5414122;175552;1283045;60334;1222711;1946854;38690;134580;1773486;1757412;16074;10432;5642;98;521332;520858;86130;434728;474;487454;192059;295395;17962483;5989;;5989;1727018;70029;782182;874807;363403;511404;1934566;108518;1826048;4214357;1409649;2804708;7206662;6217655;1268167;4610536;338952;989007;5705;983302;1940264;38740;133080;1768346;1752272;16074;10432;5642;98;439843;439369;80168;359201;474;493784;180626;313158;565234
"Total domestic sectors";"Not consolidated";"Opening balance sheet";"2021";19020745;35986;30177;5809;1984288;16582;808362;1159344;393556;765788;1454733;83728;1371005;4659618;1400243;3259375;7622980;6270267;928074;5149266;192927;1352713;79755;1272958;2152547;40731;130440;1981284;1969701;11583;9471;2112;92;611982;611593;107031;504562;389;498611;181898;316713;18300806;5726;;5726;2023966;77846;1000597;945523;386801;558722;1987737;101231;1886506;4094115;1332140;2761975;7051717;6015737;1240676;4440168;334893;1035980;6187;1029793;2145139;40896;128863;1975288;1963705;11583;9471;2112;92;482465;482076;99180;382896;389;509941;176551;333390;719939
"Total domestic sectors";"Not consolidated";"Opening balance sheet";"2022";19833880;48619;31692;16927;2147265;19554;927672;1200039;408671;791368;1520749;82110;1438639;4924169;1428712;3495457;8078848;6654521;1074904;5358514;221103;1424327;73163;1351164;2052545;40465;122077;1889907;1872316;17591;14595;2996;96;507075;506625;110125;396500;450;554610;215598;339012;19189746;16353;;16353;2228247;83785;1119186;1025276;400405;624871;2037617;90198;1947419;4213941;1289583;2924358;7654487;6593077;1525976;4706528;360573;1061410;3054;1058356;2045217;40487;120536;1884098;1866507;17591;14595;2996;96;440572;440122;106740;333382;450;553312;198376;354936;644134
"Total domestic sectors";"Not consolidated";"Opening balance sheet";"2023";19338874;50815;33594;17221;2304563;22185;968536;1313842;432336;881506;1247150;67922;1179228;5115113;1577298;3537815;7633739;6488628;927434;5354575;206619;1145111;73931;1071180;1637079;39386;99912;1497665;1484208;13457;13457;0;116;740035;739518;138969;600549;517;610380;239306;371074;18786193;16620;;16620;2248972;85303;1172109;991560;422493;569067;1867405;128390;1739015;4296136;1328551;2967585;7324519;6543268;1191667;5024265;327336;781251;1559;779692;1631258;39377;98598;1493167;1479710;13457;13457;0;116;794281;793764;133978;659786;517;607002;219230;387772;552681
"Total domestic sectors";"Not consolidated";"Opening balance sheet";"2024";19249801;54099;36780;17319;2177972;25194;811309;1341469;464616;876853;1316513;72057;1244456;5083671;1599812;3483859;7599069;6394906;965516;5204527;224863;1204163;102412;1101751;1778549;41751;101055;1635592;1622872;12720;12720;0;151;615544;614956;150967;463989;588;624384;239007;385377;18683870;16177;;16177;2120990;84373;1000671;1035946;449919;586027;1924240;126039;1798201;4214100;1294614;2919486;7358053;6544857;1347384;4846763;350710;813196;1055;812141;1772668;41811;99741;1630965;1618245;12720;12720;0;151;658877;658289;147907;510382;588;618765;215068;403697;565931
